meal_id,name,calories
1095,"PACE, Salsa Refried Beans",60
1096,Campbell's Pork and Beans,108
1097,"PACE, Triple Pepper Salsa",47
1100,"Gravy, turkey, CAMPBELL'S",42
1101,"SILK Unsweetened, soymilk",33
1102,"PACE, Diced Green Chilies",27
1103,"Blueberries, frozen, wild",57
1105,"Agave, cooked (Southwest)",135
1108,"Crackers, rye, crispbread",366
1111,"Gravy, au jus, CAMPBELL'S",8
1122,"Gelatin desserts, dry mix",381
1124,"SMART SOUP, French Lentil",53
1128,"Nuts, canned, ginkgo nuts",111
1131,"Ostrich, raw, tip trimmed",114
1132,"Ostrich, cooked, top loin",155
1134,"Fish, raw, northern, pike",88
1135,"Jerusalem-artichokes, raw",73
1136,"Radishes, dried, oriental",271
1138,"Persimmons, raw, japanese",70
1140,"SILK Light Plain, soymilk",29
1142,"Onions, dehydrated flakes",349
1143,"Seeds, dried, lotus seeds",332
1144,SILK Raspberry soy yogurt,88
1145,SILK Blueberry soy yogurt,88
1146,"Pretzels, unsalted, soft",345
1147,"Sweet potato leaves, raw",42
1149,"Bread, toasted, oat bran",259
1150,"Pheasant, meat only, raw",133
1151,"Fish, raw, Atlantic, cod",82
1154,"Spices, ground, turmeric",312
1167,"Kale, unprepared, frozen",28
1168,"Mushrooms, raw, shiitake",34
1169,"Milk, non-soy, imitation",46
1170,"Fungi, dried, Cloud ears",284
1174,"New Zealand spinach, raw",14
1175,"PACE, Tequila Lime Salsa",47
1176,"Lettuce, raw, green leaf",15
1177,"Cake, dry mix, angelfood",366
1178,"Fish, raw, white, sucker",92
1179,"Peppers, raw, red, sweet",31
1180,"Ostrich, raw, inside leg",111
1182,"SILK Plus Fiber, soymilk",41
1183,"Snacks, brown rice chips",384
1184,"Corn, raw, yellow, sweet",86
1187,"Agave, dried (Southwest)",341
1188,"Bread, whole-wheat, pita",262
1190,"Chili with beans, canned",103
1192,"Beans, raw, yellow, snap",31
1193,"Ostrich, raw, tenderloin",123
1195,"CAMPBELL'S, Tomato juice",21
1196,"Raisins, golden seedless",302
1198,"Guanabana nectar, canned",59
1202,"Peas, raw, edible-podded",42
1204,"Fish, raw, striped, bass",97
1205,"Game meat, raw, squirrel",120
1206,"Jellyfish, salted, dried",36
1209,"Spices, ground, cinnamon",247
1210,"Spices, dried, dill weed",253
1212,"Beans, raw, in pod, fava",88
1213,"Nuts, dried, ginkgo nuts",348
1214,"Pickle relish, hamburger",129
1215,"Fish, raw, walleye, pike",93
1216,"Jew's ear, raw, (pepeao)",25
1218,"Turkey and gravy, frozen",67
1219,"Cucumber, raw, with peel",15
1220,"Cowpeas, raw, leafy tips",29
1221,"Syrup, chocolate, NESTLE",269
1223,"Yogurt, non-fat, vanilla",78
1224,"Game meat, raw, antelope",114
